motor_id,horas_operacao,temperatura_c,vibracao_hz,rotacao_rpm,corrente_a,falha_registrada
motor_01,1,69.29,9.71,1806.74,14.92,0
motor_01,2,69.7,10.26,1801.98,14.93,0
motor_01,3,72.12,11.31,1806.04,15.11,0
motor_01,4,68.59,10.28,1809.14,15.13,0
motor_01,5,70.93,9.9,1802.19,15.19,0
motor_01,6,74.45,11.15,1796.13,15.1,0
motor_01,7,71.17,10.63,1800.75,15.1,0
motor_01,8,68.09,10.67,1802.23,15.12,0
motor_01,9,70.79,10.45,1799.17,15.08,0
motor_01,10,73.01,10.33,1799.84,15.02,0
motor_01,11,72.7,10.14,1797.78,15.54,0
motor_01,12,71.48,9.6,1798.18,15.47,0
motor_01,13,74.72,9.42,1796.22,15.19,0
motor_01,14,71.57,10.23,1800.22,15.31,0
motor_01,15,70.75,9.09,1792.72,14.69,0
motor_01,16,71.73,10.52,1802.22,15.11,0
motor_01,17,73.03,10.08,1797.1,15.32,0
motor_01,18,71.47,9.31,1799.75,15.12,0
motor_01,19,72.34,10.99,1793.73,15.58,0
motor_01,20,75.24,11.17,1804.39,15.24,0
motor_01,21,71.63,10.47,1799.4,15.44,0
motor_01,22,71.38,11.7,1804.15,15.33,0
motor_01,23,72.55,11.03,1802.12,15.36,0
motor_01,24,73.07,10.98,1804.13,15.1,0
motor_01,25,73.75,9.01,1802.1,15.15,0
motor_01,26,75.18,10.79,1793.66,15.15,0
motor_01,27,73.64,9.21,1807.53,15.49,0
motor_01,28,73.8,10.5,1801.46,15.33,0
motor_01,29,75.32,10.43,1811.14,15.44,0
motor_01,30,72.94,11.13,1798.53,15.34,0
motor_01,31,74.95,9.06,1796.17,15.23,0
motor_01,32,73.56,9.68,1798.39,15.51,0
motor_01,33,73.05,9.72,1799.02,15.26,0
motor_01,34,72.82,10.8,1798.77,15.4,0
motor_01,35,73.02,10.23,1801.95,15.3,0
motor_01,36,73.99,10.11,1799.16,15.04,0
motor_01,37,74.74,9.19,1800.78,15.13,0
motor_01,38,75.85,10.1,1803.03,15.57,0
motor_01,39,76.7,9.87,1800.34,15.48,0
motor_01,40,75.0,9.32,1796.8,15.49,0
motor_01,41,76.41,9.99,1798.31,15.34,0
motor_01,42,73.19,9.49,1796.91,15.05,0
motor_01,43,73.75,10.86,1806.44,15.67,0
motor_01,44,75.22,10.26,1805.23,15.62,0
motor_01,45,74.29,10.5,1791.04,15.44,0
motor_01,46,76.63,11.11,1805.05,15.21,0
motor_01,47,75.84,11.34,1799.81,15.57,0
motor_01,48,75.65,11.73,1800.72,15.46,0
motor_01,49,75.01,9.85,1788.14,15.75,0
motor_01,50,74.34,10.94,1796.48,15.98,0
motor_01,51,76.94,10.67,1793.58,15.42,0
motor_01,52,79.12,10.82,1800.69,15.44,0
motor_01,53,77.22,11.43,1797.42,15.57,0
motor_01,54,76.57,11.83,1801.9,15.63,0
motor_01,55,76.51,10.8,1803.71,15.42,0
motor_01,56,76.34,10.5,1798.28,15.39,0
motor_01,57,76.74,11.68,1798.88,15.68,0
motor_01,58,77.55,11.55,1805.01,15.64,0
motor_01,59,77.38,11.03,1796.96,15.52,0
motor_01,60,77.04,9.61,1801.99,15.96,0
motor_01,61,77.72,10.6,1796.86,15.75,0
motor_01,62,78.82,9.75,1802.11,15.68,0
motor_01,63,78.87,11.74,1800.28,15.81,0
motor_01,64,73.14,10.2,1796.27,15.84,0
motor_01,65,78.01,9.52,1796.4,15.28,0
motor_01,66,75.86,10.83,1797.98,15.53,0
motor_01,67,77.1,11.86,1798.71,15.74,0
motor_01,68,79.09,11.75,1798.04,15.79,0
motor_01,69,82.3,10.94,1795.68,15.45,0
motor_01,70,79.34,11.05,1803.96,15.49,0
motor_01,71,80.01,10.76,1804.79,15.89,0
motor_01,72,76.03,12.07,1801.04,15.66,0
motor_01,73,78.2,11.53,1791.92,15.81,0
motor_01,74,78.45,11.21,1796.79,16.03,0
